Date,Value,type,state
197001,33.9,temperature,Oregon
197002,38.4,temperature,Oregon
197003,38.2,temperature,Oregon
197004,38.7,temperature,Oregon
197005,50.7,temperature,Oregon
197006,60.7,temperature,Oregon
197007,66.2,temperature,Oregon
197008,65.1,temperature,Oregon
197009,53.8,temperature,Oregon
197010,45.6,temperature,Oregon
197011,39.2,temperature,Oregon
197012,30.3,temperature,Oregon
197101,33.2,temperature,Oregon
197102,35.2,temperature,Oregon
197103,34.8,temperature,Oregon
197104,42.0,temperature,Oregon
197105,50.6,temperature,Oregon
197106,54.7,temperature,Oregon
197107,65.4,temperature,Oregon
197108,68.0,temperature,Oregon
197109,53.8,temperature,Oregon
197110,45.0,temperature,Oregon
197111,37.4,temperature,Oregon
197112,29.8,temperature,Oregon
197201,29.5,temperature,Oregon
197202,35.0,temperature,Oregon
197203,41.9,temperature,Oregon
197204,40.7,temperature,Oregon
197205,52.4,temperature,Oregon
197206,59.0,temperature,Oregon
197207,65.6,temperature,Oregon
197208,65.8,temperature,Oregon
197209,54.1,temperature,Oregon
197210,47.0,temperature,Oregon
197211,38.3,temperature,Oregon
197212,26.4,temperature,Oregon
197301,29.6,temperature,Oregon
197302,36.8,temperature,Oregon
197303,37.8,temperature,Oregon
197304,43.5,temperature,Oregon
197305,53.3,temperature,Oregon
197306,58.5,temperature,Oregon
197307,65.9,temperature,Oregon
197308,63.5,temperature,Oregon
197309,57.9,temperature,Oregon
197310,47.3,temperature,Oregon
197311,36.9,temperature,Oregon
197312,36.5,temperature,Oregon
197401,28.5,temperature,Oregon
197402,35.1,temperature,Oregon
197403,38.3,temperature,Oregon
197404,42.7,temperature,Oregon
197405,48.6,temperature,Oregon
197406,61.1,temperature,Oregon
197407,63.9,temperature,Oregon
197408,64.4,temperature,Oregon
197409,60.6,temperature,Oregon
197410,48.2,temperature,Oregon
197411,39.4,temperature,Oregon
197412,33.5,temperature,Oregon
197501,32.0,temperature,Oregon
197502,33.1,temperature,Oregon
197503,35.7,temperature,Oregon
197504,37.9,temperature,Oregon
197505,49.6,temperature,Oregon
197506,55.8,temperature,Oregon
197507,66.6,temperature,Oregon
197508,61.0,temperature,Oregon
197509,59.5,temperature,Oregon
197510,47.2,temperature,Oregon
197511,36.3,temperature,Oregon
197512,35.2,temperature,Oregon
197601,33.5,temperature,Oregon
197602,33.9,temperature,Oregon
197603,35.3,temperature,Oregon
197604,41.6,temperature,Oregon
197605,51.6,temperature,Oregon
197606,54.4,temperature,Oregon
197607,64.8,temperature,Oregon
197608,60.7,temperature,Oregon
197609,59.5,temperature,Oregon
197610,48.6,temperature,Oregon
197611,41.1,temperature,Oregon
197612,32.3,temperature,Oregon
197701,27.2,temperature,Oregon
197702,37.7,temperature,Oregon
197703,36.2,temperature,Oregon
197704,46.7,temperature,Oregon
197705,46.2,temperature,Oregon
197706,61.4,temperature,Oregon
197707,63.7,temperature,Oregon
197708,67.2,temperature,Oregon
197709,56.0,temperature,Oregon
197710,48.4,temperature,Oregon
197711,37.2,temperature,Oregon
197712,35.8,temperature,Oregon
197801,35.1,temperature,Oregon
197802,37.2,temperature,Oregon
197803,43.4,temperature,Oregon
197804,42.8,temperature,Oregon
197805,48.2,temperature,Oregon
